City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,santa helena de goias,-17.8136,-50.5969,28.69,64,97,0.77,BR,1675885579
255,zaltan,32.947,11.8665,13.1,80,100,1.19,LY,1675885580
256,charters towers,-20.1,146.2667,22.75,86,99,4.48,AU,1675885581
257,jiayuguan,39.8167,98.3,-3.65,62,0,1.83,CN,1675885582
258,dali,25.7,100.1833,3.58,67,0,2.25,CN,1675885584
259,odoyev,53.9393,36.6864,-7.71,95,100,3.52,RU,1675885587
260,marawi,7.9986,124.2928,19.62,95,100,0.28,PH,1675885597
261,barrow,71.2906,-156.7887,-25.99,76,100,0.0,US,1675885602
262,shitanjing,39.2342,106.3439,-5.05,82,80,2.01,CN,1675885603
263,tambo grande,-4.9269,-80.3447,35.96,33,44,3.47,PE,1675885603
264,araouane,18.9048,-3.5265,23.81,15,4,4.88,ML,1675885604
265,lalin,42.7167,-8.1167,9.03,94,0,1.49,ES,1675885604
266,luoyang,34.6836,112.4536,1.6,98,100,2.96,CN,1675885604
267,junagarh,19.8667,82.9333,18.46,34,27,0.83,IN,1675885605
268,vila velha,-20.3297,-40.2925,27.97,74,20,1.54,BR,1675885592
269,los llanos de aridane,28.6585,-17.9182,14.86,72,75,2.57,ES,1675885605
270,faya,18.3851,42.4509,13.06,70,99,1.54,SA,1675885606
271,warangal,18.0,79.5833,22.09,32,100,1.22,IN,1675885606
272,praia da vitoria,38.7333,-27.0667,13.14,88,75,6.23,PT,1675885606
273,borodino,55.9106,94.8983,-12.94,98,100,1.01,RU,1675885607
274,mayumba,-3.432,10.6554,26.24,87,61,3.44,GA,1675885607
275,saldanha,-33.0117,17.9442,19.79,78,58,7.37,ZA,1675885608
276,tupik,54.4253,119.9327,-23.14,96,100,0.58,RU,1675885608
277,salalah,17.0151,54.0924,24.05,64,0,1.54,OM,1675885608
278,changji,44.0167,87.3167,-8.56,92,100,2.0,CN,1675885609
279,villazon,-22.0866,-65.5942,14.3,54,94,5.97,BO,1675885609
280,qandala,11.472,49.8728,24.1,82,58,1.71,SO,1675885610
281,topchanchi,23.9,86.2,15.97,38,0,2.61,IN,1675885610
282,salamanca,40.8333,-6.0,5.0,86,0,3.96,ES,1675885611
283,cherskiy,68.75,161.3,-32.37,98,100,3.52,RU,1675885611
284,lahaina,20.8783,-156.6825,25.45,70,24,8.86,US,1675885611
285,ternate,0.8,127.4,24.8,83,99,3.23,ID,1675885612
286,mareeba,-17.0,145.4333,23.58,92,68,1.24,AU,1675885612
287,cidreira,-30.1811,-50.2056,26.39,76,0,7.21,BR,1675885613
288,great yarmouth,52.6083,1.7305,2.26,77,18,6.02,GB,1675885447
289,chapais,49.7834,-74.8492,-14.12,86,100,4.04,CA,1675885613
290,broken hill,-31.95,141.4333,22.36,23,0,1.39,AU,1675885614
291,lazaro cardenas,17.9583,-102.2,28.14,59,0,4.43,MX,1675885614
292,puerto maldonado,-12.6,-69.1833,22.22,88,75,2.06,PE,1675885614
293,fortuna,40.5982,-124.1573,11.63,86,75,0.45,US,1675885615
294,yar-sale,66.8333,70.8333,-9.03,94,40,7.45,RU,1675885615
295,itajuipe,-14.6781,-39.375,29.44,57,12,3.2,BR,1675885616
296,svetlaya,46.5389,138.3297,-16.38,69,1,2.24,RU,1675885616
297,ulladulla,-35.35,150.4667,18.54,96,100,3.39,AU,1675885617
298,yerbogachen,61.2767,108.0108,-21.78,98,100,2.13,RU,1675885617
299,sungaipenuh,-2.0833,101.3833,16.97,85,100,0.69,ID,1675885619
300,saint augustine,29.8947,-81.3145,26.12,67,0,5.14,US,1675885392
301,kuah,6.3265,99.8432,26.99,74,20,1.03,MY,1675885619
